Decile,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS
1,0.7276501406843141,0.7600177532320381,146.0,287.0,22.81%,7.77%,22.81%,7.77%,15.0
2,0.6685447111961518,0.7268140136355992,118.0,295.0,18.44%,7.99%,41.25%,15.76%,25.5
3,0.5597332057961958,0.6685240854970813,104.0,350.0,16.25%,9.48%,57.50%,25.24%,32.300000000000004
4,0.4757705216226434,0.559342631384795,78.0,355.0,12.19%,9.62%,69.69%,34.86%,34.8
5,0.41014063974904297,0.47566641435151763,59.0,374.0,9.22%,10.13%,78.91%,44.99%,33.900000000000006
6,0.34729821981945275,0.4098859430208137,52.0,381.0,8.12%,10.32%,87.03%,55.31%,31.7
7,0.2925655387475209,0.3469100568683739,24.0,409.0,3.75%,11.08%,90.78%,66.39%,24.4
8,0.24968025194981366,0.2925615758040955,32.0,401.0,5.00%,10.86%,95.78%,77.25%,18.5
9,0.2082175906319248,0.2496340003452056,16.0,417.0,2.50%,11.29%,98.28%,88.54%,9.700000000000001
10,0.08840216550704863,0.20820568020336708,11.0,423.0,1.72%,11.46%,100.00%,100.00%,0.0
