Decile,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS
1,0.29091131091863687,0.579043253964236,144.0,290.0,22.50%,7.85%,22.50%,7.85%,14.6
2,0.24002222655753658,0.2908510216902731,122.0,311.0,19.06%,8.42%,41.56%,16.28%,25.3
3,0.1915484490182464,0.23998187839944748,100.0,333.0,15.62%,9.02%,57.19%,25.30%,31.900000000000002
4,0.15065369387516148,0.19154517486973688,69.0,364.0,10.78%,9.86%,67.97%,35.16%,32.800000000000004
5,0.12183256175030673,0.15060272218574874,61.0,372.0,9.53%,10.08%,77.50%,45.23%,32.300000000000004
6,0.09889721937767053,0.12170815217768938,40.0,393.0,6.25%,10.64%,83.75%,55.88%,27.900000000000002
7,0.07886481720801197,0.0988818163748198,35.0,398.0,5.47%,10.78%,89.22%,66.66%,22.6
8,0.06005634323184233,0.07874737044134464,30.0,403.0,4.69%,10.92%,93.91%,77.57%,16.3
9,0.03852875054423154,0.060054266739013255,22.0,411.0,3.44%,11.13%,97.34%,88.71%,8.6
10,6.180581778195533e-06,0.03851873428952677,17.0,417.0,2.66%,11.29%,100.00%,100.00%,0.0
